Marca temporal,Horas jugadas antes de la partida ,Hora del día en que jugaste  ,Tipo de juego,Jugaste con amigos o solo  ,Nivel de cansancio antes de jugar  ,Número de victorias consecutivas que llevabas antes de esta partida  ,Ganaste o Perdiste la partida
17/9/2025 9:48:16,4 - 5 + horas,Madrugada (12am–6am),Deportes,Solo,4,10,Perdí
17/9/2025 9:59:22,0 - 1 horas,Noche (6pm–12am),Shooter,Con amigos,4,3,Gané
17/9/2025 10:00:25,0 - 1 horas,Noche (6pm–12am),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:03:31,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,4,3,Gané
17/9/2025 10:03:49,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Gané
17/9/2025 10:04:08,3 - 4 horas,Noche (6pm–12am),MOBA,Solo,5,5,Perdí
17/9/2025 10:04:23,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 10:04:37,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,2,Perdí
17/9/2025 10:04:48,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:04:59,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,1,Perdí
17/9/2025 10:05:17,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Gané
17/9/2025 10:05:27,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,1,Gané
17/9/2025 10:05:39,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,2,Gané
17/9/2025 10:05:52,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,3,Gané
17/9/2025 10:06:03,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,4,Gané
17/9/2025 10:06:14,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,5,5,Gané
17/9/2025 10:06:29,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,1,0,Gané
17/9/2025 10:06:43,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,1,1,Gané
17/9/2025 10:06:54,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,2,2,Gané
17/9/2025 10:07:11,1 - 2 horas,Noche (6pm–12am),MOBA,Solo,3,3,Gané
17/9/2025 10:07:23,1 - 2 horas,Noche (6pm–12am),MOBA,Solo,3,4,Gané
17/9/2025 10:07:37,2 - 3 horas,Noche (6pm–12am),MOBA,Solo,4,5,Gané
17/9/2025 10:07:47,2 - 3 horas,Noche (6pm–12am),MOBA,Solo,5,6,Perdí
17/9/2025 10:09:20,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Gané
17/9/2025 10:09:46,4 - 5 + horas,Noche (6pm–12am),MOBA,Solo,3,5,Gané
17/9/2025 10:09:48,0 - 1 horas,Noche (6pm–12am),Shooter,Con amigos,1,1,Gané
17/9/2025 10:10:07,0 - 1 horas,Mañana (6 am - 12 pm),Shooter,Con amigos,5,3,Perdí
17/9/2025 10:10:10,0 - 1 horas,Tarde (12pm–6pm),Estrategia,Solo,2,6,Perdí
17/9/2025 10:10:13,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:10:28,4 - 5 + horas,Madrugada (12am–6am),Shooter,Con amigos,3,4,Gané
17/9/2025 10:10:38,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Gané
17/9/2025 10:10:59,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Perdí
17/9/2025 10:11:25,2 - 3 horas,Noche (6pm–12am),Shooter,Solo,2,4,Gané
17/9/2025 10:11:28,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:11:44,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,3,1,Gané
17/9/2025 10:11:58,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,2,4,Gané
17/9/2025 10:12:06,3 - 4 horas,Tarde (12pm–6pm),MOBA,Solo,3,2,Perdí
17/9/2025 10:12:16,3 - 4 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Perdí
17/9/2025 10:12:23,4 - 5 + horas,Noche (6pm–12am),Shooter,Con amigos,5,0,Perdí
17/9/2025 10:12:36,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Gané
17/9/2025 10:12:48,3 - 4 horas,Madrugada (12am–6am),Deportes,Solo,2,7,Gané
17/9/2025 10:13:09,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,1,Gané
17/9/2025 10:13:27,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,2,Gané
17/9/2025 10:13:46,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,1,3,Gané
17/9/2025 10:14:01,1 - 2 horas,Tarde (12pm–6pm),Deportes,Solo,1,4,Gané
17/9/2025 10:14:11,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,1,4,Gané
17/9/2025 10:14:18,0 - 1 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,1,Perdí
17/9/2025 10:14:23,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,1,5,Perdí
17/9/2025 10:14:39,2 - 3 horas,Madrugada (12am–6am),Estrategia,Solo,2,4,Gané
17/9/2025 10:15:03,2 - 3 horas,Noche (6pm–12am),Estrategia,Solo,2,2,Gané
17/9/2025 10:15:30,4 - 5 + horas,Noche (6pm–12am),MOBA,Solo,3,7,Gané
17/9/2025 10:15:30,1 - 2 horas,Madrugada (12am–6am),MOBA,Con amigos,1,0,Gané
17/9/2025 10:24:01,0 - 1 horas,Noche (6pm–12am),Shooter,Con amigos,4,2,Perdí
17/9/2025 10:30:01,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,2,0,Perdí
17/9/2025 10:30:24,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:30:55,1 - 2 horas,Noche (6pm–12am),MOBA,Con amigos,2,0,Perdí
17/9/2025 10:31:20,2 - 3 horas,Noche (6pm–12am),MOBA,Con amigos,2,0,Gané
17/9/2025 10:31:45,2 - 3 horas,Noche (6pm–12am),MOBA,Con amigos,3,1,Perdí
17/9/2025 10:32:09,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:32:30,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Gané
17/9/2025 10:32:52,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,2,1,Perdí
17/9/2025 10:33:14,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 10:33:35,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,0,Gané
17/9/2025 10:34:07,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,1,Gané
17/9/2025 10:34:31,2 - 3 horas,Tarde (12pm–6pm),MOBA,Con amigos,2,2,Perdí
17/9/2025 10:34:51,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:35:05,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:37:51,3 - 4 horas,Tarde (12pm–6pm),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:38:06,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,4,0,Perdí
17/9/2025 10:39:14,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,4,0,Perdí
17/9/2025 10:39:31,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,5,0,Perdí
17/9/2025 10:39:54,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Gané
17/9/2025 10:40:18,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,1,Gané
17/9/2025 10:41:20,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,2,Perdí
17/9/2025 10:44:20,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,2,Gané
17/9/2025 10:44:47,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:45:07,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:45:25,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,2,Gané
17/9/2025 10:45:48,3 - 4 horas,Tarde (12pm–6pm),MOBA,Solo,3,2,Perdí
17/9/2025 10:51:06,1 - 2 horas,Noche (6pm–12am),Deportes,Solo,1,3,Gané
17/9/2025 10:55:42,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Gané
17/9/2025 10:56:04,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,1,Gané
17/9/2025 10:56:28,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,1,2,Perdí
17/9/2025 10:56:45,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Gané
17/9/2025 10:57:11,3 - 4 horas,Tarde (12pm–6pm),MOBA,Solo,3,1,Perdí
17/9/2025 10:57:38,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 10:58:17,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Gané
17/9/2025 10:58:40,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,1,Gané
17/9/2025 10:58:59,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,2,Gané
17/9/2025 10:59:25,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,2,3,Perdí
17/9/2025 10:59:42,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Perdí
17/9/2025 11:00:14,3 - 4 horas,Noche (6pm–12am),MOBA,Con amigos,3,0,Perdí
17/9/2025 11:00:26,4 - 5 + horas,Noche (6pm–12am),MOBA,Con amigos,4,0,Perdí
17/9/2025 11:01:05,4 - 5 + horas,Noche (6pm–12am),MOBA,Con amigos,3,0,Gané
17/9/2025 11:01:35,4 - 5 + horas,Madrugada (12am–6am),MOBA,Con amigos,3,1,Gané
17/9/2025 11:01:51,4 - 5 + horas,Madrugada (12am–6am),MOBA,Con amigos,3,2,Gané
17/9/2025 11:02:24,4 - 5 + horas,Madrugada (12am–6am),MOBA,Con amigos,3,3,Gané
17/9/2025 11:02:37,4 - 5 + horas,Madrugada (12am–6am),MOBA,Con amigos,5,4,Perdí
17/9/2025 11:34:42,2 - 3 horas,Tarde (12pm–6pm),Shooter,Solo,3,3,Gané
17/9/2025 11:35:21,3 - 4 horas,Noche (6pm–12am),Shooter,Con amigos,3,4,Perdí
17/9/2025 11:49:53,4 - 5 + horas,Noche (6pm–12am),Shooter,Con amigos,5,0,Gané
17/9/2025 12:10:25,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 12:10:52,0 - 1 horas,Noche (6pm–12am),Shooter,Con amigos,3,2,Gané
17/9/2025 12:13:34,0 - 1 horas,Noche (6pm–12am),Shooter,Solo,2,4,Gané
17/9/2025 12:15:59,0 - 1 horas,Tarde (12pm–6pm),Estrategia,Solo,2,2,Gané
17/9/2025 12:17:31,0 - 1 horas,Tarde (12pm–6pm),Shooter,Con amigos,1,2,Gané
17/9/2025 12:17:50,2 - 3 horas,Noche (6pm–12am),Shooter,Solo,2,2,Gané
17/9/2025 12:18:32,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Perdí
17/9/2025 12:18:56,0 - 1 horas,Mañana (6 am - 12 pm),MOBA,Solo,3,0,Perdí
17/9/2025 12:38:38,0 - 1 horas,Tarde (12pm–6pm),Estrategia,Solo,2,0,Perdí
17/9/2025 12:42:26,2 - 3 horas,Noche (6pm–12am),Shooter,Con amigos,4,5,Gané
17/9/2025 12:46:26,1 - 2 horas,Noche (6pm–12am),Shooter,Solo,4,3,Perdí
17/9/2025 12:56:19,0 - 1 horas,Tarde (12pm–6pm),Estrategia,Solo,3,0,Perdí
17/9/2025 13:06:56,1 - 2 horas,Mañana (6 am - 12 pm),Deportes,Solo,2,1,Perdí
17/9/2025 13:10:17,1 - 2 horas,Mañana (6 am - 12 pm),Estrategia,Solo,3,0,Perdí
17/9/2025 13:27:56,0 - 1 horas,Mañana (6 am - 12 pm),Shooter,Solo,3,4,Gané
17/9/2025 13:29:50,0 - 1 horas,Noche (6pm–12am),MOBA,Con amigos,1,0,Gané
17/9/2025 13:30:07,0 - 1 horas,Noche (6pm–12am),MOBA,Con amigos,1,1,Gané
17/9/2025 13:30:18,1 - 2 horas,Noche (6pm–12am),MOBA,Con amigos,2,2,Gané
17/9/2025 13:34:13,2 - 3 horas,Tarde (12pm–6pm),Estrategia,Con amigos,4,0,Perdí
17/9/2025 14:16:58,4 - 5 + horas,Noche (6pm–12am),Shooter,Con amigos,3,5,Gané
17/9/2025 15:43:30,1 - 2 horas,Noche (6pm–12am),Deportes,Solo,4,3,Gané
17/9/2025 15:44:07,1 - 2 horas,Madrugada (12am–6am),Deportes,Solo,5,2,Perdí
17/9/2025 16:05:22,1 - 2 horas,Noche (6pm–12am),MOBA,Solo,1,2,Gané
17/9/2025 16:26:55,1 - 2 horas,Noche (6pm–12am),Estrategia,Con amigos,5,2,Perdí
17/9/2025 17:38:28,4 - 5 + horas,Tarde (12pm–6pm),MOBA,Con amigos,1,2,Gané
17/9/2025 17:59:53,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,4,10,Perdí
17/9/2025 22:43:23,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 22:43:44,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 22:43:57,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Perdí
17/9/2025 22:44:11,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Gané
17/9/2025 22:44:34,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,3,1,Perdí
17/9/2025 22:44:46,3 - 4 horas,Noche (6pm–12am),MOBA,Solo,3,0,Gané
17/9/2025 22:45:05,4 - 5 + horas,Noche (6pm–12am),MOBA,Solo,3,1,Gané